round,test_acc,test_loss,train_loss,val_loss,train_acc,val_acc
54,0.9587,0.1260011734597385,0.10426946229537855,0.12793996149215142,0.9691794518633042,0.9625310678326175
55,0.9587,0.12600117472708225,0.1034691058264554,0.12848756902042544,0.9694546442246993,0.9623172918198873
56,0.9587,0.12600117650926113,0.10308108262748955,0.1414437483815459,0.9697327747496113,0.959630522444756
57,0.9593,0.125306916731596,0.09677461327551548,0.12852066169076368,0.9717077737425082,0.9614303316151047
58,0.9593,0.1253069159567356,0.102907571163636,0.14363915923626452,0.9705802652722193,0.957547883211041
59,0.9593,0.125306915448606,0.10344794521070404,0.14774954693084832,0.9703183946224344,0.9569998249640573
60,0.956,0.13469000152945518,0.10669466364241346,0.15649968364973094,0.96814689256066,0.9567383133984485
61,0.956,0.13468999797105788,0.11285927722996884,0.16081787770612282,0.9662984850001721,0.9550868904318452
62,0.956,0.13468999859392644,0.10835391166432984,0.15385348305158122,0.9687710322175339,0.9565861876700351
63,0.9625,0.11882834769710898,0.08830062038022707,0.1322900570084159,0.9737199864451269,0.9616874414524065
64,0.9625,0.11882834486961365,0.0910333892069588,0.13310174407269962,0.9730867723802465,0.9626463838965635
65,0.9625,0.11882834664285183,0.09194148682861714,0.13268393845991935,0.9731737684043137,0.9610522030475893
66,0.9638,0.1126668649226427,0.08505797858981966,0.13642514850437867,0.974443440059653,0.9617437227406719
67,0.9638,0.11266686559841037,0.08844653774657034,0.13685282133520493,0.9727172658093769,0.9628932852692171
68,0.9638,0.11266686454489827,0.08844001182420488,0.134532677739692,0.9725717575875539,0.9646791767907662
69,0.9635,0.11480765664204955,0.07925180959332612,0.12567508019382503,0.9762786738052909,0.9635582475879721
70,0.9635,0.11480765773355961,0.09197352032200276,0.11013169313563204,0.9719569678759312,0.9674364977012658
71,0.9635,0.11480765684098006,0.09150840011778116,0.10899151563363459,0.9721887384670531,0.9673018225463939
72,0.9637,0.1172263921380043,0.0853369417087073,0.11538903598395599,0.975028099992576,0.9644050456112787
73,0.9637,0.117226394161582,0.09193274400725883,0.10826541691479936,0.972306796187165,0.9660103738270434
74,0.9637,0.1172263941168785,0.090168338688313,0.11348273988564325,0.9724129103466148,0.9653634166324855
75,0.9642,0.12148391106799244,0.0836314263115988,0.12606400763922462,0.9743328005950677,0.9610978543337607
76,0.9642,0.12148390991091729,0.08535708929787782,0.12489213562561094,0.9731657831438786,0.9607666546072341
77,0.9642,0.12148390955924988,0.0894331869141591,0.13355415526243727,0.9726775918869077,0.9583231044057386
78,0.9641,0.10855849329233169,0.07331705156673685,0.12566826752610302,0.9783809348247209,0.9643233042780976
79,0.9641,0.10855849402546883,0.08323348740618464,0.12592780484422925,0.9754753997961259,0.9640922086307161
80,0.9641,0.10855849576890468,0.08249615259753458,0.11023940811139014,0.9756587147241124,0.9668569915413786
81,0.9664,0.10630178762488067,0.07174169500580443,0.10492875517778891,0.9781619159517786,0.9701486751293948
82,0.9664,0.10630178629755974,0.07624958721325839,0.10441488153797894,0.9762728779517625,0.969399742393376
83,0.9664,0.10630178728401661,0.07461063226338466,0.11431947997632143,0.977518511988674,0.9670735126808704
84,0.9669,0.10470843610465527,0.06798934827363481,0.11382705522174114,0.9784433259521923,0.967247903800744
85,0.9669,0.10470843575298786,0.07280692769775927,0.11651692926472036,0.9771837511650424,0.9665879351948198
86,0.9669,0.10470843492001296,0.07354730050806763,0.11985197508319144,0.9770241158495547,0.9647916604817685
87,0.9647,0.1080987343326211,0.0722692676915045,0.11892649748091673,0.9784299732750485,0.9647876742525704
88,0.9647,0.10809873377978801,0.07363441735020605,0.12154125514205129,0.9779435503619259,0.9644873396846676
89,0.9647,0.10809873661473393,0.07241027089433524,0.11703486708732894,0.978500348875178,0.9642379201068682
90,0.9656,0.10635197825282812,0.07176643999952839,0.11218151507479927,0.9778879616425675,0.9681095178977264
91,0.9656,0.10635197872668505,0.06950835557661585,0.10676927285985478,0.9797863305904021,0.9693147708544085
92,0.9656,0.10635197791345417,0.07046848064368702,0.10802603984583617,0.9798111733155837,0.9694443622999303
93,0.9654,0.11288470126911998,0.07902717646408618,0.1260839610727867,0.9771675807551313,0.9629040660195758
94,0.9654,0.11288470191545784,0.08000003933915689,0.12492927478885686,0.9772206662745212,0.9642064289311413
95,0.9654,0.11288470077067614,0.08379814372500552,0.12976504339095485,0.9763863614742341,0.9632413973549997
96,0.9656,0.10531670900285243,0.06498370643503132,0.13018941479695906,0.9807327316017064,0.9646925905471794
97,0.9656,0.10531670811325311,0.0645326637001256,0.1333220411546182,0.9810718667039469,0.9652503609970557
98,0.9656,0.10531670749783516,0.06660748171042337,0.11516365543015865,0.9800076587195014,0.9670199087075307
99,0.9689,0.09973213053345681,0.06136103375839328,0.11575499765230478,0.982027292378255,0.968465667474198
100,0.9689,0.09973212984204292,0.06834820658228222,0.12067980464526741,0.9792607101071429,0.9662629111412451
